,index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,t
0,0,0.7560005,0.02072126,0.6300592,0.582593,0.7224191,0.6492985,0.75305355,0.790198,0.81620324,0.8473055,0.78920346,0.8718383,0.410509,0.0
1,1,0.57868457,0.10939216,0.20074846,0.19444694,0.55066895,0.48214856,0.5237558,0.547788,0.5600664,0.57068235,0.5609372,0.5795799,0.38340834,0.014285714285714285
2,2,0.6204844,0.08802273,0.38127753,0.2877225,0.59416366,0.5163302,0.56217986,0.56118584,0.573625,0.5925484,0.5654809,0.6011702,0.24449627,0.02857142857142857
3,3,0.64695513,0.29796356,0.23720752,0.25395724,0.616417,0.5337385,0.5826189,0.6153136,0.6229556,0.6301803,0.62760097,0.6323988,0.5689114,0.04285714285714286
4,4,0.563256,0.008149837,0.40817872,0.32261607,0.5268611,0.4536139,0.49898627,0.51454777,0.52660364,0.54252297,0.5108936,0.5494205,0.245835,0.05714285714285714
5,5,0.55840564,0.0061967997,0.36902025,0.2832977,0.55278736,0.4713068,0.50635004,0.5188422,0.5259363,0.5331221,0.54859656,0.53451973,0.2546453,0.07142857142857142
6,6,0.54292405,0.06410268,0.19722626,0.15884008,0.5037167,0.4315163,0.457279,0.46394688,0.47487643,0.4866519,0.45692557,0.48858476,0.22858426,0.08571428571428572
7,7,0.5702786,0.008358197,0.33608833,0.21410058,0.52974206,0.4559902,0.4810523,0.47613963,0.48487452,0.5106601,0.46935973,0.51905394,0.11085722,0.1
8,8,0.50051814,0.0028393208,0.4125289,0.32403532,0.47338477,0.41769186,0.4544396,0.4607688,0.48156536,0.5052296,0.4710523,0.5188058,0.1670479,0.11428571428571428
9,9,0.696118,0.006738798,0.31063128,0.19756573,0.6350171,0.55890507,0.5874261,0.5928827,0.5985323,0.61267287,0.5737211,0.6151477,0.25576133,0.12857142857142856
10,10,0.4781337,0.0032828217,0.27718207,0.21723945,0.42018372,0.3583187,0.37256786,0.38655204,0.39990193,0.41447374,0.382357,0.42164946,0.18836826,0.14285714285714285
11,11,0.2764372,0.04810676,0.23296525,0.22429353,0.24492224,0.2126386,0.22126463,0.2444146,0.28590515,0.30432606,0.30305105,0.32331958,0.1952827,0.15714285714285714
12,12,0.41451225,0.009825311,0.26249132,0.18234213,0.4010854,0.34824622,0.37340888,0.39206454,0.42029238,0.4386478,0.4349932,0.45285174,0.19867848,0.17142857142857143
13,13,0.4331173,0.0030714564,0.2623771,0.23111503,0.40145326,0.3519932,0.3725672,0.38965034,0.4104949,0.42012358,0.40688425,0.43037915,0.20365866,0.18571428571428572
14,14,0.52045417,0.0046131616,0.4934852,0.45784283,0.5035957,0.45516533,0.50510997,0.5231883,0.5453513,0.56376255,0.5423755,0.5788252,0.26142594,0.2
15,15,0.19857584,0.0016104834,0.14349484,0.08057479,0.15585771,0.13466826,0.13141686,0.17372547,0.23631193,0.26288474,0.26442897,0.28839734,0.142529,0.21428571428571427
16,16,0.28694654,0.009181548,0.26197925,0.19910333,0.24266346,0.20880307,0.22841911,0.25133887,0.2766175,0.2913787,0.28343043,0.30975282,0.21134843,0.22857142857142856
17,17,0.5192005,0.038481843,0.4429926,0.35486838,0.51314074,0.46167162,0.49426538,0.508155,0.5214121,0.5337496,0.53907734,0.5445802,0.33287057,0.24285714285714285
18,18,0.6618131,0.011616493,0.4795862,0.33210388,0.64522165,0.5929398,0.644389,0.6612573,0.67743003,0.6953829,0.6718819,0.70468014,0.33269548,0.2571428571428571
19,19,0.1451998,0.011608818,0.17971714,0.11126836,0.11797162,0.10413289,0.115316816,0.14257643,0.17252459,0.19162345,0.20204288,0.21899854,0.12275036,0.2714285714285714
20,20,0.5247584,0.08423772,0.18290249,0.17188442,0.50230634,0.45275453,0.4836748,0.4992643,0.5258102,0.5409836,0.5238182,0.5494411,0.30587003,0.2857142857142857
21,21,0.365875,0.009032821,0.2469385,0.19160523,0.3533479,0.3333566,0.37735868,0.4195702,0.46865708,0.49770495,0.49266517,0.52431273,0.27756193,0.3
22,22,0.67406857,0.01166806,0.45546493,0.35128546,0.6462836,0.5893887,0.6326016,0.64310545,0.6548371,0.67395586,0.6468036,0.68360704,0.32098106,0.3142857142857143
23,23,0.21117371,0.06287913,0.19995597,0.14882426,0.19150807,0.16405556,0.16465053,0.1850319,0.21762492,0.2345438,0.23462808,0.25431648,0.13327551,0.32857142857142857
24,24,0.2963856,0.005462508,0.38027033,0.30602324,0.22756395,0.23623706,0.26752082,0.30454606,0.36967677,0.39900258,0.34237832,0.42725706,0.18491518,0.34285714285714286
25,25,0.2777045,0.0222307,0.26763746,0.19935523,0.31525725,0.2761397,0.2642623,0.26877284,0.2960763,0.30802515,0.36018136,0.3097007,0.15982427,0.35714285714285715
26,26,0.24650967,0.047688667,0.2219193,0.16240497,0.2195352,0.20496717,0.20389523,0.22611816,0.2866322,0.31497112,0.30454174,0.32880414,0.15005754,0.37142857142857144
27,27,0.13214083,0.006755389,0.2435902,0.19152081,0.119832754,0.13000476,0.14497025,0.1651341,0.21639898,0.23846649,0.23405807,0.2522317,0.09823397,0.38571428571428573
28,28,0.17378527,0.011315252,0.20776969,0.15610118,0.15691029,0.15660901,0.15945843,0.18285891,0.2575623,0.2913152,0.27593404,0.30391225,0.10613622,0.4
29,29,0.14602639,0.0011,0.29074806,0.22337344,0.12912847,0.14055793,0.15353358,0.17923276,0.24816415,0.28639585,0.2703398,0.30323818,0.07314112,0.4142857142857143
30,30,0.17380355,0.0017020574,0.27705026,0.18801731,0.14968292,0.15676185,0.16374889,0.1950063,0.2813814,0.3191064,0.2931938,0.33832884,0.105729625,0.42857142857142855
31,31,0.18575545,0.0014833768,0.2918823,0.18690369,0.17172645,0.1697417,0.16471721,0.20256767,0.33397865,0.39775056,0.38785666,0.4280743,0.1124579,0.44285714285714284
32,32,0.7438111,0.017386219,0.4785213,0.3311248,0.7190797,0.6852034,0.7225745,0.7254329,0.744232,0.7769561,0.7361896,0.7904464,0.3155251,0.45714285714285713
33,33,0.70625013,0.0028129981,0.6239086,0.45747027,0.70880336,0.68739074,0.7408817,0.73903716,0.7934453,0.8437155,0.7844014,0.8701361,0.22755209,0.4714285714285714
34,34,0.13787404,0.0011937296,0.14863704,0.08134612,0.110046014,0.09760908,0.08046956,0.10341202,0.19206251,0.23565814,0.23199935,0.25678408,0.05011035,0.4857142857142857
35,35,0.4514564,0.006203658,0.39375657,0.27279884,0.43059787,0.40653262,0.42040795,0.44300818,0.5106182,0.55038583,0.53295845,0.5693175,0.2673301,0.5
36,36,0.54294217,0.043751404,0.55259305,0.42336088,0.55156463,0.53696966,0.5722967,0.59908813,0.6807086,0.7285613,0.70551443,0.7483907,0.33813536,0.5142857142857142
37,37,0.8904256,0.024950588,0.52223164,0.35299894,0.883544,0.8333996,0.8873519,0.90290153,0.91152287,0.93384194,0.912641,0.9361273,0.56835485,0.5285714285714286
38,38,0.9299195,0.0738856,0.6025857,0.41625637,0.87962013,0.87414426,0.94752294,0.9773963,0.99278915,1.0123508,0.9565792,1.0288594,0.6794045,0.5428571428571428
39,39,0.16077697,0.0030731221,0.24050179,0.14578076,0.1487228,0.1357883,0.1290741,0.1591721,0.24103518,0.27607757,0.28596425,0.30229324,0.08324833,0.5571428571428572
40,40,0.5477152,0.010604964,0.65729207,0.5210526,0.5633748,0.5537213,0.5965286,0.61166996,0.66587985,0.69408274,0.70071536,0.71253157,0.33335435,0.5714285714285714
41,41,0.13596557,0.002444644,0.25541842,0.1618144,0.11377982,0.109918125,0.11459536,0.13575973,0.19455999,0.22718847,0.21708514,0.25467744,0.056741543,0.5857142857142857
42,42,0.16687407,0.005776388,0.2602306,0.15959507,0.14109422,0.12993191,0.12988994,0.14854354,0.2097244,0.25327927,0.2378649,0.2822066,0.044927597,0.6
43,43,0.41507465,0.019195853,0.41240427,0.3254097,0.46817988,0.43809384,0.43884623,0.44183585,0.47372907,0.49196923,0.53774714,0.49749085,0.27225003,0.6142857142857143
44,44,0.14052545,0.008624984,0.3131294,0.21075219,0.12779167,0.12773769,0.1502261,0.17026123,0.21785088,0.24884184,0.24562936,0.28126696,0.07209164,0.6285714285714286
45,45,0.36852288,0.0071069887,0.21759866,0.11777855,0.33593616,0.30876678,0.31242225,0.32024282,0.36270264,0.39106226,0.3673939,0.40730667,0.15561225,0.6428571428571429
46,46,0.49952233,0.039218944,0.39708796,0.32281217,0.47152826,0.44208625,0.45983273,0.4708127,0.50233215,0.53248703,0.5087569,0.55020505,0.24919674,0.6571428571428571
47,47,0.14756767,0.001231842,0.22927009,0.15498781,0.12267306,0.10910585,0.10736979,0.120000586,0.1619473,0.18633498,0.17729859,0.20434442,0.037584584,0.6714285714285714
48,48,0.20333417,0.02342887,0.26767528,0.19376084,0.1670826,0.15240787,0.15450571,0.17347214,0.22293194,0.24952295,0.23622152,0.27362466,0.09546989,0.6857142857142857
49,49,0.23543325,0.018011399,0.22132276,0.15298958,0.26405177,0.22004317,0.19948083,0.20632462,0.24977073,0.27705172,0.33049327,0.29137868,0.10264441,0.7
50,50,0.16498162,0.0025275636,0.22345574,0.14633407,0.13000914,0.12033834,0.12932472,0.14783978,0.18792021,0.21251094,0.20721516,0.2325091,0.098507054,0.7142857142857143
51,51,0.13274738,0.004285924,0.25515616,0.19839735,0.11667923,0.118680604,0.13460411,0.1536816,0.18695709,0.2055389,0.20229742,0.21922341,0.10094592,0.7285714285714285
52,52,0.44865996,0.11378197,0.22378162,0.2022328,0.42404383,0.3979881,0.41118187,0.43067008,0.4648278,0.4809197,0.47548488,0.4905945,0.3264189,0.7428571428571429
53,53,0.13177228,0.001110516,0.23866381,0.18088913,0.11292397,0.111345656,0.124135956,0.13773745,0.17177832,0.19019057,0.18533717,0.20838755,0.057299804,0.7571428571428571
54,54,0.30610445,0.105837,0.227116,0.18572025,0.27646965,0.25483516,0.25706962,0.27761725,0.32922426,0.35519335,0.34289476,0.37083194,0.21722142,0.7714285714285715
55,55,0.13775869,0.0013941214,0.24870336,0.18729945,0.1184531,0.1155257,0.12942198,0.14214435,0.17646869,0.19446172,0.18989547,0.21182159,0.05755885,0.7857142857142857
56,56,0.27258638,0.00316241,0.32819232,0.2516819,0.24188423,0.2238319,0.22732522,0.25735128,0.31811008,0.35050115,0.34294015,0.3802505,0.15711947,0.8
57,57,0.61995333,0.22858201,0.3575122,0.3420923,0.6073462,0.55344135,0.5839434,0.5882339,0.60397416,0.62391543,0.6044404,0.62937176,0.36988223,0.8142857142857143
58,58,0.18268628,0.03526117,0.14704226,0.1005095,0.15022701,0.124511465,0.11731685,0.12972835,0.15647073,0.16924657,0.16590245,0.17912838,0.078316495,0.8285714285714286
59,59,0.33243677,0.15850179,0.22336231,0.19918971,0.30640283,0.2738795,0.2773061,0.29434463,0.31849307,0.3296422,0.32971653,0.3384987,0.25731048,0.8428571428571429
60,60,0.38998908,0.0017603528,0.3543706,0.3112889,0.35526624,0.31415617,0.32662207,0.33096552,0.34876475,0.3638291,0.33912823,0.3739425,0.12572417,0.8571428571428571
61,61,0.15380993,0.0012567929,0.22070542,0.16805777,0.1248258,0.10793429,0.11049582,0.1301713,0.15901199,0.17451379,0.16867831,0.18595512,0.06261989,0.8714285714285714
62,62,0.5686704,0.002315382,0.35027713,0.22732328,0.53491026,0.47274998,0.50503284,0.4977048,0.51256406,0.53584975,0.49197719,0.54693776,0.14876185,0.8857142857142857
63,63,0.81140465,0.013278707,0.6434248,0.46776408,0.7315706,0.6914463,0.821312,0.8828155,0.9189392,0.9549749,0.8466833,1.00671,0.57764804,0.9
64,64,0.6054007,0.003688929,0.44918025,0.38328403,0.5490447,0.46698192,0.5071369,0.5269203,0.537658,0.5544074,0.5161971,0.56300616,0.26600608,0.9142857142857143
65,65,0.56995183,0.00490983,0.45910245,0.33910713,0.56080717,0.5022125,0.55612326,0.5678717,0.58703774,0.6078509,0.5813581,0.6215257,0.23323247,0.9285714285714286
66,66,0.7993042,0.04874572,0.35990018,0.28929067,0.7873944,0.7113549,0.816814,0.8430512,0.8643469,0.89814633,0.8561298,0.9245751,0.36227176,0.9428571428571428
67,67,0.59158784,0.15248978,0.285408,0.25953704,0.5624844,0.4966427,0.54122114,0.55336595,0.5661128,0.5819701,0.5596113,0.5874274,0.35361558,0.9571428571428572
68,68,0.5495433,0.037821848,0.32999718,0.24101211,0.5072681,0.44437537,0.46812332,0.48048547,0.48774782,0.49945578,0.47677675,0.5038146,0.28079152,0.9714285714285714
69,69,0.30406246,0.04232381,0.19987501,0.15387607,0.26239762,0.21680664,0.2257196,0.2398048,0.26125333,0.2748413,0.2698169,0.28592384,0.12866567,0.9857142857142858
