,index,meadows,winter barley,corn,winter wheat,summer barley,clover,winter triticale,t
0,0,0.14226447,0.1324438,0.13270004,0.15331645,0.13466856,0.121461555,0.18314508,0.0
1,1,0.14769396,0.103047684,0.14060992,0.14499561,0.1521663,0.10862824,0.20285836,0.014285714285714285
2,2,0.1474769,0.098384455,0.1418221,0.14856872,0.16095799,0.102758154,0.20003156,0.02857142857142857
3,3,0.16024533,0.07131549,0.14568758,0.14224325,0.15194078,0.09462693,0.23394066,0.04285714285714286
4,4,0.17603664,0.06116726,0.1508676,0.124265775,0.14531183,0.09414976,0.24820107,0.05714285714285714
5,5,0.18079491,0.05989243,0.15145439,0.113508254,0.14942794,0.09239949,0.25252265,0.07142857142857142
6,6,0.17888562,0.061380666,0.14635633,0.1103732,0.16093752,0.0861234,0.25594333,0.08571428571428572
7,7,0.17270668,0.06485521,0.13869584,0.1117433,0.17849635,0.07774296,0.25575975,0.1
8,8,0.16379759,0.07163127,0.13234241,0.11513178,0.1928757,0.070516005,0.25370526,0.11428571428571428
9,9,0.14996886,0.08421728,0.12604311,0.12479879,0.2027023,0.06302216,0.24924733,0.12857142857142856
10,10,0.13120858,0.10567739,0.121142775,0.14206217,0.20112744,0.0558698,0.24291177,0.14285714285714285
11,11,0.11733299,0.13893412,0.14836155,0.15201633,0.13006927,0.055685487,0.2576001,0.15714285714285714
12,12,0.12203182,0.14100677,0.14759627,0.14496803,0.11264805,0.05955651,0.2721925,0.17142857142857143
13,13,0.12139912,0.14689422,0.1411893,0.1480012,0.10762184,0.06380748,0.27108678,0.18571428571428572
14,14,0.118986905,0.17313845,0.14318173,0.1476314,0.100957364,0.067787975,0.2483162,0.2
15,15,0.56592214,0.030052358,0.03869405,0.016626319,0.06487058,0.22150305,0.062331382,0.21428571428571427
16,16,0.637162,0.017269224,0.04330611,0.00547587,0.027865155,0.25730026,0.011621312,0.22857142857142856
17,17,0.67060786,0.013490367,0.048962936,0.003684528,0.017918687,0.23999889,0.005336693,0.24285714285714285
18,18,0.7037016,0.011228102,0.042456254,0.0023568228,0.011252495,0.2263594,0.002645205,0.2571428571428571
19,19,0.66167784,0.013031329,0.049158696,0.0019379477,0.009113838,0.26377934,0.0013012099,0.2714285714285714
20,20,0.5797623,0.01638899,0.06291389,0.0018249574,0.009686159,0.32859787,0.00082579337,0.2857142857142857
21,21,0.5019726,0.019027436,0.07031207,0.0018269025,0.010671819,0.39550662,0.0006826694,0.3
22,22,0.47289333,0.01738051,0.06645642,0.0016395539,0.00997796,0.4311045,0.00054755853,0.3142857142857143
23,23,0.43531793,0.017430032,0.07777568,0.0016698468,0.010634645,0.4566792,0.000492645,0.32857142857142857
24,24,0.29145974,0.035488673,0.21610333,0.0024268385,0.016493157,0.4374825,0.0005455853,0.34285714285714286
25,25,0.23042925,0.037268475,0.3006942,0.003873612,0.024969071,0.4019876,0.0007778754,0.35714285714285715
26,26,0.14211407,0.042974867,0.49469727,0.0051017995,0.028700441,0.28556746,0.00084418984,0.37142857142857144
27,27,0.0055930093,0.04157813,0.9318923,0.00084011466,0.002199312,0.017710248,0.00018706205,0.38571428571428573
28,28,0.0024178037,0.03135023,0.95628643,0.00039014863,0.00067523273,0.008781648,9.8346594e-05,0.4
29,29,0.0021807444,0.023066612,0.9649713,0.0002789942,0.00047180845,0.008958357,7.209615e-05,0.4142857142857143
30,30,0.009273853,0.19903193,0.7345702,0.0008908134,0.0017523994,0.05424018,0.0002408342,0.42857142857142855
31,31,0.010503007,0.7011507,0.1904384,0.0011780637,0.002893321,0.09347697,0.0003594639,0.44285714285714284
32,32,0.008347009,0.8045499,0.09040336,0.0010361613,0.0032635762,0.09202244,0.0003777276,0.45714285714285713
33,33,0.00761122,0.8147038,0.06998093,0.0010437658,0.0034837832,0.102812394,0.00036407213,0.4714285714285714
34,34,0.006547111,0.8360047,0.049781963,0.0009026473,0.003168701,0.10327618,0.00031881896,0.4857142857142857
35,35,0.0056202947,0.8501684,0.039651733,0.0008007739,0.002943462,0.10055418,0.00026117038,0.5
36,36,0.004953901,0.8647551,0.03299745,0.00075289153,0.0029375167,0.0933845,0.00021867162,0.5142857142857142
37,37,0.004640145,0.8741541,0.032892324,0.0007629355,0.0033502732,0.08400809,0.00019221936,0.5285714285714286
38,38,0.0043899445,0.8839474,0.03783831,0.0008625073,0.0041041067,0.0686622,0.00019575462,0.5428571428571428
39,39,0.004517524,0.8952404,0.033889163,0.0008795322,0.0040474357,0.061221562,0.00020462346,0.5571428571428572
40,40,0.0036214886,0.9181987,0.02832232,0.0008624818,0.0037560377,0.045052968,0.00018610651,0.5714285714285714
41,41,0.002997899,0.9464921,0.017997785,0.0007585748,0.0032012523,0.028393338,0.00015929223,0.5857142857142857
42,42,0.002683738,0.95727146,0.013841807,0.00071936985,0.0029937634,0.02235246,0.00013752504,0.6
43,43,0.0024549805,0.96470994,0.011106735,0.0006778108,0.0027536764,0.018181685,0.00011498671,0.6142857142857143
44,44,0.0014752398,0.98229486,0.0055585257,0.0004580462,0.0019682278,0.008162505,8.277871e-05,0.6285714285714286
45,45,0.0015713657,0.9835425,0.005052887,0.00045840978,0.0019988806,0.007290031,8.615524e-05,0.6428571428571429
46,46,0.0016341138,0.98368275,0.004988471,0.0004544847,0.0019342097,0.007219065,8.725115e-05,0.6571428571428571
47,47,0.0019059886,0.98246956,0.0050922357,0.0004643427,0.0019360182,0.008049092,8.280428e-05,0.6714285714285714
48,48,0.0022420532,0.98052686,0.0053140423,0.00047658893,0.002071821,0.009290243,7.824157e-05,0.6857142857142857
49,49,0.0025486343,0.9786524,0.005547185,0.0004962665,0.0022189238,0.010459649,7.697185e-05,0.7
50,50,0.002437041,0.9800192,0.0051220576,0.0005057177,0.0022302866,0.009608595,7.696011e-05,0.7142857142857143
51,51,0.0022072943,0.982234,0.0046560853,0.00053932855,0.002217684,0.0080636665,8.195222e-05,0.7285714285714285
52,52,0.0022744075,0.98203444,0.0048155286,0.000575643,0.0022445766,0.007968788,8.652281e-05,0.7428571428571429
53,53,0.0022733102,0.98210186,0.004872748,0.0006113305,0.0022975814,0.0077518574,9.103418e-05,0.7571428571428571
54,54,0.0023270415,0.98183125,0.0050059133,0.0006445438,0.0023387487,0.0077579482,9.427552e-05,0.7714285714285715
55,55,0.0022978096,0.9820869,0.0049463357,0.00067120395,0.0023918655,0.007507571,9.8214536e-05,0.7857142857142857
56,56,0.0023906704,0.9817165,0.0050545787,0.0006976715,0.0024093366,0.007631214,0.00010002135,0.8
57,57,0.0024645245,0.98138887,0.005138877,0.00071615266,0.002456934,0.007733855,0.00010047739,0.8142857142857143
58,58,0.002543847,0.9811217,0.0051602274,0.00073130964,0.0025065504,0.0078357095,0.00010085698,0.8285714285714286
59,59,0.0025898216,0.98106605,0.005141781,0.0007382976,0.002528615,0.007834977,0.00010046838,0.8428571428571429
60,60,0.0027411967,0.9805254,0.005223348,0.00074906996,0.0025529414,0.008108493,9.9503595e-05,0.8571428571428571
61,61,0.0029257017,0.9799066,0.00528437,0.0007568607,0.0025382736,0.008489812,9.82923e-05,0.8714285714285714
62,62,0.0031156114,0.97924477,0.005353027,0.0007601013,0.0025214932,0.008909032,9.6339696e-05,0.8857142857142857
63,63,0.0031891551,0.9790579,0.0053509674,0.0007677633,0.0025134925,0.009024882,9.564286e-05,0.9
64,64,0.0032775463,0.9787947,0.0053823516,0.00078375736,0.0025197505,0.0091461325,9.570573e-05,0.9142857142857143
65,65,0.0033439132,0.97857445,0.005432111,0.00079874846,0.002520915,0.009233783,9.5898875e-05,0.9285714285714286
66,66,0.0033845261,0.9784251,0.005482017,0.00081585895,0.0025402482,0.009255789,9.649067e-05,0.9428571428571428
67,67,0.0034218654,0.9782865,0.0055367807,0.00083726406,0.0025769966,0.009242941,9.778918e-05,0.9571428571428572
68,68,0.0035033536,0.977967,0.005633028,0.00086141727,0.0026124597,0.009323313,9.931834e-05,0.9714285714285714
69,69,0.0035920811,0.9776458,0.005704559,0.00088372175,0.0026457058,0.009427152,0.000100646364,0.9857142857142858
